H,Phi,Phi_n,v0,theta,lam,xi,rho
0.03,279291.10253782565,115.64848966369593,0.022323092059951033,0.15986336831664533,0.2533576456124984,0.35892083424862387,-0.7102026196220841
0.0683,237070.35810782763,98.16577975479404,0.022797287545125673,0.159998582775833,0.2603718818141575,0.37735850840311946,-0.7152668191424134
0.1067,200036.77794884023,82.83096395397111,0.023080349994090026,0.15999504606427806,0.2672478560996745,0.3923516421503107,-0.721273960877222
0.145,168128.81886194443,69.61855853496664,0.023336928946041467,0.16,0.2762356561051156,0.4125933841021069,-0.723458532748269
0.1833,141649.13292752608,58.65388527019714,0.02356284651193738,0.15999506356377916,0.2860242923340039,0.43373627342312754,-0.726102359870027
0.2217,120986.55537195018,50.09795253496902,0.02376738951832756,0.15999275339256147,0.29718724098878013,0.45786855008069116,-0.7272271980501133
0.26,106778.51986773612,44.21470801976651,0.02395451246862494,0.15992938655099165,0.30928886379898834,0.4840519895291384,-0.7276546801228574
0.2983,99004.76490217539,40.99576186425482,0.024054920171434936,0.13906015364926705,0.39048186518619443,0.5204898758958583,-0.730213652315139
0.3367,93278.26790774014,38.62454157670399,0.023992256237956443,0.10324461380940418,0.6369772956659944,0.5817991112840744,-0.7311313444373188
0.375,88115.35491020471,36.486689403811475,0.02392309593424644,0.08572579401529828,0.9171221930178024,0.6493372551815828,-0.7319906097159092
0.4133,83581.59836993503,34.60935750307869,0.023851722126878028,0.07532860521545418,1.2349619943940011,0.7238173667172256,-0.7328492940506173
0.4517,79761.55675933413,33.027559734713925,0.023776251921272973,0.06842776221869482,1.5960165185383506,0.8061270776069338,-0.7337298233952024
0.49,76782.90524169701,31.79416366115818,0.023698933966271485,0.06353616560242861,2.003288096308766,0.8967516318659263,-0.734607063892067
