model,T,n,rmse_bp,bias_bp,inside,phin
rough,0.197125,16,78.42691543650545,-76.4527876479339,0.0,29.813601266426108
rough,0.273785,14,57.740339195759134,53.899619787003495,0.0,8.948311975728876
rough,0.350445,15,123.63392195548865,122.47523880843121,0.0,71.00014954263355
rough,0.44627,16,34.17852202111503,-30.800141430489848,12.5,10.625753303437278
rough,0.522929,18,15.872944813539736,-1.9455805503021086,61.111111111111114,2.731223147190745
rough,0.599589,18,46.33503857134471,44.68007114369599,5.555555555555555,22.003176373181546
rough,0.695414,18,12.545559646453444,-4.347158862847824,50.0,1.5584166620443518
rough,0.769336,18,27.963336831065703,-24.60526243021766,22.22222222222222,15.441257132073364
classical,0.197125,16,78.4268909129064,-76.4527577192321,0.0,29.81358398714127
classical,0.273785,14,57.740358077954205,53.89963909422567,0.0,8.948317440675945
classical,0.350445,15,123.63392829797824,122.47524525894559,0.0,71.0001551999943
classical,0.44627,16,34.17852264277457,-30.800143505261417,12.5,10.625753967474154
classical,0.522929,18,15.872943381747767,-1.945586742717763,61.111111111111114,2.731221892946265
classical,0.599589,18,46.33503030785802,44.68006244877868,5.555555555555555,22.003169073305898
classical,0.695414,18,12.545566427491078,-4.347169490755112,50.0,1.5584185162563877
classical,0.769336,18,27.963348800310314,-24.605274144505195,22.22222222222222,15.44126963758204
