T,k,iv
0.522929,-0.395198,0.400501
0.522929,-0.374937,0.396797
0.522929,-0.354677,0.393238
0.522929,-0.334417,0.389832
0.522929,-0.314157,0.386588
0.522929,-0.293897,0.383510
0.522929,-0.273637,0.380601
0.522929,-0.253377,0.377866
0.522929,-0.233116,0.375305
0.522929,-0.212856,0.372919
0.522929,-0.192596,0.370710
0.522929,-0.172336,0.368675
0.522929,-0.152076,0.366815
0.522929,-0.131816,0.365126
0.522929,-0.111556,0.363606
0.522929,-0.0912955,0.362250
0.522929,-0.0710354,0.361054
0.522929,-0.0507753,0.360014
0.522929,-0.0305152,0.359122
0.522929,-0.0102551,0.358373
0.522929,0.010005,0.357759
0.522929,0.0302653,0.357275
0.522929,0.0505254,0.356913
0.522929,0.0707855,0.356667
0.522929,0.0910456,0.356531
0.522929,0.111306,0.356499
0.522929,0.131566,0.356566
0.522929,0.151826,0.356729
0.522929,0.172086,0.356984
0.522929,0.192346,0.357329
0.522929,0.212606,0.357760
0.522929,0.232867,0.358276
0.522929,0.253127,0.358876
0.522929,0.273387,0.359559
0.522929,0.293647,0.360325
0.522929,0.313907,0.361171
0.522929,0.334167,0.362097
0.522929,0.354427,0.363101
0.522929,0.374687,0.364182
0.522929,0.394948,0.365337
0.695414,-0.446973,0.396659
0.695414,-0.426713,0.393479
0.695414,-0.406453,0.390449
0.695414,-0.386193,0.387570
0.695414,-0.365933,0.384844
0.695414,-0.345673,0.382272
0.695414,-0.325413,0.379850
0.695414,-0.305152,0.377577
0.695414,-0.284892,0.375450
0.695414,-0.264632,0.373465
0.695414,-0.244372,0.371619
0.695414,-0.224112,0.369907
0.695414,-0.203852,0.368325
0.695414,-0.183592,0.366871
0.695414,-0.163332,0.365538
0.695414,-0.143071,0.364325
0.695414,-0.122811,0.363227
0.695414,-0.102551,0.362240
0.695414,-0.0822911,0.361360
0.695414,-0.062031,0.360583
0.695414,-0.0417707,0.359906
0.695414,-0.0215106,0.359323
0.695414,-0.00125051,0.358832
0.695414,0.0190096,0.358427
0.695414,0.0392697,0.358106
0.695414,0.0595298,0.357863
0.695414,0.0797899,0.357696
0.695414,0.10005,0.357600
0.695414,0.12031,0.357574
0.695414,0.14057,0.357612
0.695414,0.16083,0.357715
0.695414,0.181091,0.357878
0.695414,0.201351,0.358101
0.695414,0.221611,0.358382
0.695414,0.241871,0.358721
0.695414,0.262131,0.359117
0.695414,0.282391,0.359571
0.695414,0.302651,0.360081
0.695414,0.322912,0.360649
0.695414,0.343172,0.361274
0.695414,0.363432,0.361958
0.695414,0.383692,0.362701
0.695414,0.403952,0.363501
0.695414,0.424212,0.364359
0.695414,0.444472,0.365275
