T,k,bid,ask
0.197125,-0.925393,0.613747,0.715566
0.197125,-0.80761,0.586281,0.660706
0.197125,-0.702249,0.555282,0.610573
0.197125,-0.606939,0.523779,0.565137
0.197125,-0.519928,0.494344,0.523249
0.197125,-0.439885,0.468985,0.484817
0.197125,-0.365777,0.443921,0.452763
0.197125,-0.296784,0.420994,0.427004
0.197125,-0.232245,0.402496,0.406317
0.197125,-0.171621,0.388496,0.391536
0.197125,-0.114462,0.378595,0.381289
0.197125,-0.0603953,0.372033,0.374637
0.197125,-0.0395612,0.37021,0.372828
0.197125,-0.0191523,0.368804,0.371482
0.197125,-0.00910198,0.368137,0.371091
0.197125,-0.00910198,0.368265,0.370964
0.197125,0.00084841,0.367703,0.370676
0.197125,0.0107007,0.367356,0.370354
0.197125,0.0396882,0.36671,0.369851
0.197125,0.0862082,0.366755,0.370134
0.197125,0.13066,0.368296,0.371156
0.197125,0.17322,0.37088,0.373019
0.197125,0.214042,0.373637,0.376471
0.197125,0.253262,0.376674,0.381164
0.197125,0.291003,0.38088,0.386882
0.197125,0.32737,0.385757,0.391954
0.197125,0.362462,0.390526,0.397607
0.197125,0.396363,0.394956,0.403596
0.197125,0.550514,0.40772,0.434139
0.197125,0.684045,0.396957,0.470506
0.273785,-0.929273,0.574736,0.635534
0.273785,-0.81149,0.544867,0.591769
0.273785,-0.70613,0.515555,0.551526
0.273785,-0.610819,0.487623,0.514581
0.273785,-0.523808,0.462593,0.479705
0.273785,-0.443765,0.438749,0.44864
0.273785,-0.369657,0.416629,0.422533
0.273785,-0.300664,0.397679,0.40168
0.273785,-0.236126,0.38218,0.385975
0.273785,-0.175501,0.370565,0.374361
0.273785,-0.118343,0.362682,0.365947
0.273785,-0.0642757,0.357379,0.360273
0.273785,-0.0129824,0.3538,0.356978
0.273785,-0.0129824,0.354062,0.356717
0.273785,0.0358078,0.352162,0.35528
0.273785,0.0823279,0.351539,0.354935
0.273785,0.12678,0.35173,0.355478
0.273785,0.169339,0.352707,0.356769
0.273785,0.210161,0.354404,0.358836
0.273785,0.249382,0.356827,0.361511
0.273785,0.287122,0.359778,0.36478
0.273785,0.32349,0.36327,0.368287
0.273785,0.358581,0.366942,0.372262
0.273785,0.392483,0.370158,0.376773
0.273785,0.546633,0.378901,0.40249
0.273785,0.680165,0.374329,0.434986
0.350445,-0.933065,0.541112,0.589275
0.350445,-0.815282,0.514097,0.550235
0.350445,-0.709922,0.487953,0.514383
0.350445,-0.614612,0.464224,0.481603
0.350445,-0.5276,0.441324,0.45174
0.350445,-0.447558,0.419543,0.425597
0.350445,-0.37345,0.400178,0.403777
0.350445,-0.304457,0.383701,0.386741
0.350445,-0.239918,0.370491,0.373868
0.350445,-0.179294,0.360782,0.364162
0.350445,-0.122135,0.354026,0.357028
0.350445,-0.068068,0.349361,0.352024
0.350445,-0.0167747,0.346445,0.348702
0.350445,-0.0167747,0.34644,0.348708
0.350445,0.0320154,0.344884,0.346904
0.350445,0.0785355,0.344081,0.346407
0.350445,0.122987,0.343992,0.346756
0.350445,0.165547,0.344662,0.347625
0.350445,0.206369,0.345851,0.349053
0.350445,0.24559,0.347448,0.351086
0.350445,0.28333,0.349663,0.353571
0.350445,0.319697,0.352083,0.356279
0.350445,0.354789,0.355229,0.359251
0.350445,0.38869,0.358343,0.362757
0.350445,0.542841,0.368007,0.386147
0.350445,0.676372,0.368658,0.413767
0.44627,-0.937894,0.519001,0.559996
0.44627,-0.820111,0.497409,0.527145
0.44627,-0.714751,0.477115,0.496269
0.44627,-0.61944,0.456998,0.468608
0.44627,-0.532429,0.437712,0.444454
0.44627,-0.452386,0.420036,0.424127
0.44627,-0.378278,0.404835,0.407657
0.44627,-0.309286,0.39233,0.394654
0.44627,-0.244747,0.382301,0.384647
0.44627,-0.184122,0.374541,0.376872
0.44627,-0.126964,0.368753,0.371019
0.44627,-0.0728967,0.364526,0.366738
0.44627,-0.0216035,0.361584,0.363888
0.44627,-0.0216035,0.361655,0.363818
0.44627,0.0271867,0.359961,0.362093
0.44627,0.0737068,0.359218,0.361093
0.44627,0.118159,0.359025,0.360858
